,pr_number,po_number,pr_po_no,uid_number,activity,date,item,item_line,po_line,gr_number,gr_line,inv_line,wf_line
19,4121130468,5811271089,,,PO From SAP,20240102 14:45:38.000000,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200","['i75354', 'i75355', 'i75356', 'i75357', 'i75358', 'i75359', 'i75360', 'i75361', 'i75362', 'i75363', 'i75364', 'i75365', 'i75366', 'i75367', 'i75368', 'i75369', 'i75370', 'i75371', 'i75372', 'i75373']",['po21099'],0,,,
20,4121130658,5620498637,,,PO From SAP,20240102 14:57:12.000000,50,['i2068'],['po1'],0,,,
21,0,5620498881,,,PO From SAP,20240102 15:28:04.000000,"10, 20, 30, 40","['i2099', 'i2100', 'i2101', 'i2102']",['po8'],0,,,
22,0,5620499142,,,PO From SAP,20240102 16:42:50.000000,10,['i2111'],['po15'],0,,,
23,4121130659,5620498637,,,PO From SAP,20240102 16:53:59.000000,60,['i2069'],['po1'],0,,,
24,0,5620498788,,,PO From SAP,20240102 17:00:03.000000,"10, 20, 30, 40, 50, 60, 70","['i2090', 'i2091', 'i2092', 'i2093', 'i2094', 'i2095', 'i2096']",['po5'],0,,,
25,4121112132,5911240185,,,PO From SAP,20240102 17:17:10.000000,10,['i80085'],['po22330'],0,,,
26,4120978336,5620498919,,,PO From SAP,20240102 17:21:36.000000,10,['i2106'],['po12'],0,,,
27,4121133744,5811271088,,,PO From SAP,20240102 17:23:52.000000,10,['i75353'],['po21098'],0,,,
28,4120696540,5620498909,,,PO From SAP,20240102 17:54:35.000000,10,['i2105'],['po11'],0,,,
29,4120609841,5620498866,,,PO From SAP,20240102 18:09:42.000000,10,['i2097'],['po6'],0,,,
30,4121133891,5620500879,,,PO From SAP,20240102 03:08:19.000000,10,['i2113'],['po17'],0,,,
31,4121133892,5620500879,,,PO From SAP,20240102 04:21:18.000000,20,['i2114'],['po17'],0,,,
32,21854471,5620498934,,,PO From SAP,20240102 04:55:48.000000,"10, 20, 30","['i2108', 'i2109', 'i2110']",['po14'],0,,,
33,21842884,5811271090,,,PO From SAP,20240102 05:13:42.000000,10,['i75374'],['po21100'],0,,,
34,0,5620498674,,,PO From SAP,20240102 05:52:58.000000,"10, 20, 30, 40, 50","['i2083', 'i2084', 'i2085', 'i2086', 'i2087']",['po3'],0,,,
35,0,5620498667,,,PO From SAP,20240102 06:10:32.000000,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130","['i2070', 'i2071', 'i2072', 'i2073', 'i2074', 'i2075', 'i2076', 'i2077', 'i2078', 'i2079', 'i2080', 'i2081', 'i2082']",['po2'],0,,,
36,4121072602,5620498872,,,PO From SAP,20240102 06:19:06.000000,10,['i2098'],['po7'],0,,,
37,4121073003,5620500869,,,PO From SAP,20240102 06:21:32.000000,10,['i2112'],['po16'],0,,,
38,4121086023,5911240181,,,PO From SAP,20240102 06:30:34.000000,10,['i80081'],['po22326'],0,,,
39,4121093127,5911240182,,,PO From SAP,20240102 06:36:30.000000,10,['i80082'],['po22327'],0,,,
40,4121102408,5911240183,,,PO From SAP,20240102 06:42:03.000000,10,['i80083'],['po22328'],0,,,
41,4121130391,5620498637,,,PO From SAP,20240102 06:42:23.000000,40,['i2067'],['po1'],0,,,
42,4121130327,5620498637,,,PO From SAP,20240102 07:03:29.000000,30,['i2066'],['po1'],0,,,
43,4121130326,5620498637,,,PO From SAP,20240102 07:15:37.000000,20,['i2065'],['po1'],0,,,
44,4121130288,5620498637,,,PO From SAP,20240102 07:36:18.000000,10,['i2064'],['po1'],0,,,
45,4121126693,5620498900,,,PO From SAP,20240102 07:41:06.000000,10,['i2104'],['po10'],0,,,
46,4121125207,5620498924,,,PO From SAP,20240102 08:31:55.000000,10,['i2107'],['po13'],0,,,
47,4121112132,5911240186,,,PO From SAP,20240102 08:33:50.000000,10,['i80086'],['po22331'],0,,,
48,4121112132,5911240179,,,PO From SAP,20240102 08:35:30.000000,"10, 20","['i80079', 'i80080']",['po22325'],0,,,
49,4121130468,5620498885,,,PO From SAP,20240102 08:39:28.000000,10,['i2103'],['po9'],0,,,
50,4121102409,5911240184,,,PO From SAP,20240102 09:13:09.000000,10,['i80084'],['po22329'],0,,,
51,0,5620498735,,,PO From SAP,20240102 09:18:17.000000,"10, 20","['i2088', 'i2089']",['po4'],0,,,
52,0,6221388428,,,PO From WISE,20240102 09:24:00.000000,10,['i83251'],['po22993'],0,,,
53,0,6221388479,,,PO From WISE,20240102 09:26:57.000000,10,['i83252'],['po22994'],0,,,
54,0,6221388309,,,PO From WISE,20240102 09:40:33.000000,10,['i83250'],['po22992'],0,,,
55,0,6221388301,,,PO From WISE,20240102 09:53:47.000000,10,['i83249'],['po22991'],0,,,
56,0,5616922295,0-5616922295,26D72C01FEA140179ED67816477BBC5F,Invoice Created,20240102 09:55:01.000000,10,['i458'],,0,,['v27291'],
57,0,6221379257,0-6221379257,25C0A2534EC245D998783393D71BCCEE,Invoice Errors,20240102 09:57:26.000000,10,['i83007'],,0,,['v7653'],
58,0,6221379257,0-6221379257,25C0A2534EC245D998783393D71BCCEE,WF GR_Missing_Sent,20240102 10:31:58.000000,10,['i83007'],,0,,['v7653'],['wf7101']
59,0,6221379257,0-6221379257,25C0A2534EC245D998783393D71BCCEE,Invoice WF_GR_MISSING,20240102 10:35:36.000000,10,['i83007'],,0,,['v7653'],['wf7101']
60,0,5616922295,0-5616922295,26D72C01FEA140179ED67816477BBC5F,Invoice Errors,20240102 10:39:39.000000,10,['i458'],,0,,['v27291'],
61,0,5616922295,0-5616922295,26D72C01FEA140179ED67816477BBC5F,Invoice WF_GR_MISSING,20240102 10:50:01.000000,10,['i458'],,0,,['v27291'],['wf25184']
62,0,5616922295,0-5616922295,26D72C01FEA140179ED67816477BBC5F,WF GR_Missing_Sent,20240102 11:02:23.000000,10,['i458'],,0,,['v27291'],['wf25184']
63,0,6221263817,0-6221263817,410B039FD350499FBDB33753086F1ED3,Invoice Created,20240102 11:07:04.000000,10,['i82402'],,0,,['v786'],
